sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,298,539.2974,539.8977,0.6003,0.6,(-275.0;0.0),(275.0;0.0),0.017,0.0088,0,0,1
first,299,540.5977,541.0477,0.4500,0.45000002,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,300,541.7477,542.4977,0.7500,0.75000006,(-275.0;0.0),(275.0;0.0),0.0082,0.0,0,0,1
first,301,543.1977,543.6814,0.4837,0.48333335,(-275.0;0.0),(275.0;0.0),0.0759,0.0088,0,0,1
first,302,544.3811,544.8811,0.5000,0.5,(275.0;0.0),(-275.0;0.0),0.1171,0.05,1,1,1
first,303,545.5812,546.1479,0.5667,0.5666667,(-275.0;0.0),(275.0;0.0),0.0402,0.0167,0,0,1
first,304,546.8480,547.2813,0.4333,0.43333337,(275.0;0.0),(-275.0;0.0),0.0838,0.0167,1,1,1
first,305,547.9816,548.8818,0.9003,0.90000004,(-275.0;0.0),(275.0;0.0),0.0529,0.05,0,0,1
first,306,549.5815,550.2149,0.6333,0.6333334,(-275.0;0.0),(275.0;0.0),0.0235,0.0,0,0,1
first,307,550.9147,551.3481,0.4334,0.43333337,(275.0;0.0),(-275.0;0.0),1.0,0.45,1,1,1
first,308,552.0482,552.5150,0.4667,0.4666667,(275.0;0.0),(-275.0;0.0),0.3921,0.2,1,1,1
first,309,553.2150,553.9816,0.7667,0.7666667,(-275.0;0.0),(275.0;0.0),0.017,0.0088,0,0,1
first,310,554.6818,555.1984,0.5166,0.5166667,(-275.0;0.0),(275.0;0.0),0.0082,0.0,0,0,1
first,311,555.8984,556.8151,0.9167,0.9166667,(-275.0;0.0),(275.0;0.0),0.4582,0.45,0,1,0
first,312,557.5152,558.0321,0.5168,0.5166667,(-275.0;0.0),(275.0;0.0),0.3921,0.2,0,0,1
first,313,558.7321,559.3153,0.5832,0.5833334,(-275.0;0.0),(275.0;0.0),0.2009,0.0088,0,0,1
first,314,560.0155,560.8488,0.8333,0.8333334,(275.0;0.0),(-275.0;0.0),0.0029,0.0,1,0,0
first,315,561.5487,562.0323,0.4836,0.48333335,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,316,562.7324,563.7156,0.9832,0.9833334,(275.0;0.0),(-275.0;0.0),0.2235,0.2,1,0,0
first,317,564.4158,565.1990,0.7832,0.78333336,(-275.0;0.0),(275.0;0.0),0.001,0.0,0,1,0
first,318,565.8990,566.6157,0.7167,0.7166667,(-275.0;0.0),(275.0;0.0),0.0117,0.0088,0,0,1
first,319,567.3158,567.9159,0.6001,0.6,(275.0;0.0),(-275.0;0.0),0.5171,0.45,1,1,1
first,320,568.6158,569.2495,0.6336,0.6333334,(275.0;0.0),(-275.0;0.0),0.0735,0.05,1,0,0
first,321,569.9493,570.5327,0.5834,0.5833334,(-275.0;0.0),(275.0;0.0),0.0402,0.0167,0,0,1
first,322,571.2327,571.8327,0.6001,0.6,(-275.0;0.0),(275.0;0.0),0.0735,0.05,0,0,1
first,323,572.5327,572.9995,0.4668,0.4666667,(275.0;0.0),(-275.0;0.0),0.2235,0.2,1,0,0
first,324,573.6994,574.0829,0.3835,0.38333336,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,325,574.7829,575.5329,0.7501,0.75000006,(275.0;0.0),(-275.0;0.0),0.2671,0.2,1,1,1
first,326,576.2330,576.8162,0.5832,0.5833334,(275.0;0.0),(-275.0;0.0),0.2082,0.2,1,1,1
first,327,577.5162,577.9999,0.4837,0.48333335,(275.0;0.0),(-275.0;0.0),0.6,0.05,1,1,1
first,328,578.6995,579.5995,0.9000,0.90000004,(-275.0;0.0),(275.0;0.0),0.0098,0.0088,0,0,1
first,329,580.2996,580.7998,0.5002,0.5,(275.0;0.0),(-275.0;0.0),0.1171,0.05,1,1,1
first,330,581.4999,582.2002,0.7002,0.70000005,(-275.0;0.0),(275.0;0.0),0.001,0.0,0,0,1
first,331,582.9000,583.5667,0.6667,0.6666667,(-275.0;0.0),(275.0;0.0),0.0249,0.0167,0,0,1
first,332,584.2664,584.9332,0.6667,0.6666667,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,1,1
first,333,585.6333,586.1332,0.4999,0.5,(-275.0;0.0),(275.0;0.0),0.0082,0.0,0,0,1
first,334,586.8336,587.8003,0.9668,0.9666667,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,0,1
first,335,588.5005,588.9837,0.4832,0.48333335,(-275.0;0.0),(275.0;0.0),1.0,0.2,0,0,1
first,336,589.6837,590.1170,0.4333,0.43333337,(-275.0;0.0),(275.0;0.0),1.0,0.2,0,0,1
first,337,590.8171,591.5171,0.7000,0.70000005,(275.0;0.0),(-275.0;0.0),0.2235,0.2,1,0,0
first,338,592.2172,593.0173,0.8001,0.8000001,(275.0;0.0),(-275.0;0.0),0.0249,0.0167,1,0,0
first,339,593.7172,594.1840,0.4668,0.4666667,(275.0;0.0),(-275.0;0.0),1.0,0.2,1,1,1
